"Source:","C:\Users\nrott\Documents\Sync\HomeNils\Modellbau\KiCad\HotWaterRecirculatingPump\HotWaterRecirculatingPump\HotWaterRecirculatingPump.kicad_sch"
"Date:","28.10.2022 16:19:44"
"Tool:","Eeschema (6.0.8)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","12"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","10uF","Device:C","","~"
"","","C2","470uF","Device:C_Polarized","","~"
"","","J1","Dual Relay","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"","","J2","DS18B20","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"","","J3","DS18B20","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"","","J4","BUTTON_LED","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"","","LCD1","SSD1306","SSD1306:SSD1306","SSD1306:128x64OLED",""
"","","R1","1kOhm","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R2","1kOhm","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","SW1","SW_WIFI_CONF","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm_H4.3mm","~"
"","","U1","DS18B20","Sensor_Temperature:DS18B20","Package_TO_SOT_THT:TO-92_Inline","http://datasheets.maximintegrated.com/en/ds/DS18B20.pdf"
"","","U3","mini_esp32","ESP32_mini:mini_esp32","ESP32_mini:ESP32_mini",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","C1","10uF","Device:C","","~"
"2","1","C2","470uF","Device:C_Polarized","","~"
"3","1","J1","Dual Relay","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"4","2","J2, J3","DS18B20","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"5","1","J4","BUTTON_LED","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"6","1","LCD1","SSD1306","SSD1306:SSD1306","SSD1306:128x64OLED",""
"7","2","R1, R2","1kOhm","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"8","1","SW1","SW_WIFI_CONF","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm_H4.3mm","~"
"9","1","U1","DS18B20","Sensor_Temperature:DS18B20","Package_TO_SOT_THT:TO-92_Inline","http://datasheets.maximintegrated.com/en/ds/DS18B20.pdf"
"10","1","U3","mini_esp32","ESP32_mini:mini_esp32","ESP32_mini:ESP32_mini",""
